subject,idna_subject,expiration_date,epoch
1000gratisproben.com,1000gratisproben.com,18-sep-2022,1663459200.0
1010press.com,1010press.com,09-jun-2022,1654732800.0
1088.email,1088.email,19-sep-2025,1758240000.0
1200isplenty.com,1200isplenty.com,27-jan-2023,1674777600.0
123brennholz.com,123brennholz.com,07-jan-2022,1641513600.0
123moviedownload.com,123moviedownload.com,07-jun-2022,1654560000.0
12streetwings.com,12streetwings.com,30-dec-2021,1640822400.0
1superkredit.com,1superkredit.com,01-apr-2022,1648771200.0
2021outlet.ru,2021outlet.ru,09-mar-2022,1646784000.0
20minutenews.com,20minutenews.com,09-apr-2022,1649462400.0
2425publishers.org,2425publishers.org,06-may-2022,1651795200.0
2rad-berlin.com,2rad-berlin.com,01-sep-2022,1661990400.0
2rad-hero.com,2rad-hero.com,06-oct-2021,1633478400.0
365usanews.com,365usanews.com,17-may-2022,1652745600.0
3amoto.com,3amoto.com,26-apr-2022,1650931200.0
3d-market.shop,3d-market.shop,11-dec-2021,1639180800.0
3kjailbreak.com,3kjailbreak.com,28-nov-2021,1638057600.0
3questionsgetthegirl.com,3questionsgetthegirl.com,20-apr-2022,1650412800.0
40plusdeals.com,40plusdeals.com,09-sep-2022,1662681600.0
4thmedia.org,4thmedia.org,15-nov-2022,1668470400.0
5d-makt.com,5d-makt.com,15-dec-2021,1639526400.0
5galert.com,5galert.com,27-aug-2022,1661558400.0
5thpublisher.com,5thpublisher.com,12-mar-2022,1647043200.0
665-deutschrezension.club,665-deutschrezension.club,30-mar-2022,1648598400.0
71jailbreak.com,71jailbreak.com,23-nov-2022,1669161600.0
7evasi0n.com,7evasi0n.com,01-may-2022,1651363200.0
7jailbreak.com,7jailbreak.com,02-sep-2022,1662076800.0
7universum.com,7universum.com,16-sep-2022,1663286400.0
818dior.ru,818dior.ru,22-feb-2022,1645488000.0
84rur.ru,84rur.ru,27-nov-2021,1637971200.0
99rabats.shop,99rabats.shop,03-feb-2022,1643846400.0
aaafashion.ru,aaafashion.ru,19-may-2022,1652918400.0
aaa-handel.net,aaa-handel.net,07-mar-2022,1646611200.0
aabri.com,aabri.com,02-jan-2022,1641081600.0
aacan.site,aacan.site,13-oct-2021,1634083200.0
